dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.637519,7.848754,0.035714,0.357143,1.785714,8.928571,5.689838
0.200000,6.730981,7.784328,0.149230,0.567578,1.052176,-3.667692,5.668829
0.200000,6.886058,7.669719,0.342062,0.964160,1.982908,4.653663,5.621783
0.200000,7.101881,7.482870,0.627530,1.427343,2.315915,1.665035,5.504386
0.200000,7.361782,7.074192,1.111851,2.421604,4.971304,13.276943,4.946778
0.200000,6.984145,6.437762,1.851887,3.700179,6.392879,7.107874,3.575744
0.200000,6.491699,6.277942,2.369618,2.588653,-5.557632,-59.752553,3.397401
0.200000,5.977550,6.139900,2.901976,2.661792,0.365697,29.616644,3.284342
0.200000,5.281710,6.377839,3.637372,3.676979,5.075935,23.551189,2.423959
0.200000,4.960912,6.653353,4.060243,2.114353,-7.813130,-64.445326,2.674602
0.200000,4.557380,6.765909,4.479179,2.094680,-0.098367,38.573815,2.935537
0.200000,4.092962,6.837397,4.949066,2.349437,1.273785,6.860763,3.034126
0.200000,3.622570,6.872816,5.420790,2.358621,0.045919,-6.139332,3.121541
0.200000,3.173246,6.838536,5.871419,2.253146,-0.527372,-2.866457,3.282585
0.200000,2.675970,6.763263,6.374361,2.514706,1.307801,9.175864,3.272853
0.200000,2.122884,6.733493,6.928247,2.769433,1.273635,-0.170828,3.092775
0.200000,1.576100,6.838391,7.485002,2.783773,0.071700,-6.009675,2.825905
0.200000,1.156075,7.003155,7.936187,2.255926,-2.639239,-13.554696,2.733076
0.200000,0.841900,7.135861,8.277240,1.705263,-2.753312,-0.570363,2.768268
0.200000,0.606046,7.216240,8.526414,1.245872,-2.296957,2.281774,2.870546
0.200000,0.437115,7.253181,8.699337,0.864615,-1.906282,1.953373,2.988740
0.200000,0.328731,7.264833,8.808346,0.545044,-1.597854,1.542141,3.082376
0.200000,0.277299,7.266653,8.859810,0.257317,-1.438639,0.796077,3.130384
0.200000,0.265539,7.266719,8.871570,0.058803,-0.992568,2.230355,3.141593
0.200000,0.265539,7.266719,8.871570,0.000000,-0.294016,3.492760,3.141593
