dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.298121,7.345506,0.035714,0.357143,1.785714,8.928571,5.689838
0.200000,6.381086,7.288322,0.136477,0.503815,0.733360,-5.261769,5.668829
0.200000,6.513224,7.190716,0.300755,0.821390,1.587876,4.272578,5.621783
0.200000,6.675509,7.050834,0.515007,1.071257,1.249332,-1.692719,5.504386
0.200000,6.771380,6.933217,0.666746,0.758698,-1.562791,-14.060616,4.946778
0.200000,6.728816,6.988449,0.736477,0.348651,-2.050236,-2.437223,3.575744
0.200000,6.338111,6.865189,1.146163,2.048431,8.498900,52.745681,3.397401
0.200000,5.891195,6.740726,1.610087,2.319623,1.355956,-35.714721,3.284342
0.200000,5.680876,6.835131,1.840622,1.152674,-5.834743,-35.953497,2.423959
0.200000,5.234184,7.195360,2.414467,2.869226,8.582759,72.087511,2.674602
0.200000,4.681572,7.360069,2.991103,2.883181,0.069779,-42.564897,2.935537
0.200000,4.158069,7.440895,3.520809,2.648530,-1.173260,-6.215196,3.034126
0.200000,3.634740,7.479694,4.045575,2.623826,-0.123518,5.248707,3.121541
0.200000,3.087947,7.439513,4.593842,2.741338,0.587560,3.555394,3.282585
0.200000,2.596523,7.365041,5.090877,2.485173,-1.280822,-9.341914,3.272853
0.200000,2.152504,7.339770,5.535614,2.223687,-1.307434,-0.133058,3.092775
0.200000,1.764556,7.415395,5.930865,1.976254,-1.237162,0.351357,2.825905
0.200000,1.397205,7.560205,6.325728,1.974313,-0.009706,6.137281,2.733076
0.200000,1.063281,7.701050,6.688140,1.812063,-0.811251,-4.007725,2.768268
0.200000,0.768564,7.801079,6.999369,1.556144,-1.279594,-2.341713,2.870546
0.200000,0.529536,7.853104,7.243994,1.223125,-1.665097,-1.927516,2.988740
0.200000,0.364654,7.870769,7.409819,0.829127,-1.969990,-1.524467,3.082376
0.200000,0.284103,7.873615,7.490421,0.403008,-2.130590,-0.803001,3.130384
0.200000,0.265539,7.873719,7.508985,0.092820,-1.550943,2.898236,3.141593
0.200000,0.265539,7.873719,7.508985,0.000000,-0.464099,5.434221,3.141593
