dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,1.396042,5.667923,0.035714,0.357143,1.785714,8.928571,0.010046
0.200000,1.492254,5.670607,0.131963,0.481244,0.620506,-5.826040,0.045925
0.200000,1.651568,5.682839,0.291746,0.798914,1.588347,4.839203,0.107748
0.200000,1.871836,5.716621,0.514589,1.114218,1.576522,-0.059127,0.196980
0.200000,2.149083,5.788773,0.801072,1.432412,1.590971,0.072248,0.311605
0.200000,2.477232,5.919153,1.154173,1.765505,1.665467,0.372478,0.441772
0.200000,2.848972,6.126244,1.579705,2.127659,1.810770,0.726517,0.568520
0.200000,3.232033,6.399859,2.050449,2.353722,1.130314,-3.402279,0.664319
0.200000,3.603649,6.709465,2.534139,2.418446,0.323620,-4.033471,0.717870
0.200000,3.948263,7.016477,2.995674,2.307676,-0.553850,-4.387352,0.731979
0.200000,4.247415,7.282464,3.395975,2.001505,-1.530856,-4.885029,0.717561
0.200000,4.501819,7.498395,3.729663,1.668442,-1.665315,-0.672295,0.687244
0.200000,4.708624,7.662323,3.993558,1.319473,-1.744844,-0.397646,0.651537
0.200000,4.862671,7.776016,4.185017,0.957296,-1.810888,-0.330217,0.619167
0.200000,4.958712,7.842872,4.302037,0.585098,-1.860987,-0.250497,0.596736
0.200000,4.992999,7.865956,4.343370,0.206669,-1.892144,-0.155785,0.588340
0.200000,4.994362,7.866865,4.345009,0.008191,-0.992389,4.498776,0.588003
0.200000,4.994362,7.866865,4.345009,0.000000,-0.040957,4.757158,0.588003
