dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,1.399091,5.364438,0.035714,0.357143,1.785714,8.928571,0.010046
0.200000,1.506187,5.367427,0.142857,0.714286,1.785714,0.000000,0.045925
0.200000,1.684206,5.381099,0.321429,1.071429,1.785714,0.000000,0.107748
0.200000,1.931233,5.418990,0.571429,1.428571,1.785714,-0.000000,0.196980
0.200000,2.242133,5.499888,0.892857,1.785714,1.785714,0.000000,0.311605
0.200000,2.606991,5.644791,1.285714,2.142857,1.785714,-0.000000,0.441772
0.200000,3.012372,5.870485,1.750000,2.500000,1.785714,0.000000,0.568520
0.200000,3.419147,6.160902,2.250000,2.500000,0.000000,-8.928571,0.664319
0.200000,3.803286,6.480866,2.750000,2.500000,0.000000,0.000000,0.717870
0.200000,4.151105,6.790717,3.215822,2.158215,-1.708925,-8.544623,0.731979
0.200000,4.446981,7.053803,3.611750,1.801072,-1.785714,-0.383949,0.717561
0.200000,4.694362,7.263791,3.936250,1.443929,-1.785714,0.000000,0.687244
0.200000,4.892669,7.420994,4.189322,1.086787,-1.785714,-0.000000,0.651537
0.200000,5.038809,7.528857,4.370965,0.729644,-1.785714,0.000000,0.619167
0.200000,5.129263,7.591824,4.481179,0.372501,-1.785714,0.000000,0.596736
0.200000,5.161436,7.613486,4.519965,0.015358,-1.785714,-0.000000,0.588340
0.200000,5.162714,7.614338,4.521501,0.000000,-0.076790,8.544623,0.588003
0.200000,5.162714,7.614338,4.521501,0.000000,0.000000,0.383949,0.588003
