dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,1.402140,5.060953,0.035714,0.357143,1.785714,8.928571,0.010046
0.200000,1.520120,5.064247,0.153740,0.590130,1.164935,-3.103896,0.045925
0.200000,1.716844,5.079359,0.351044,0.986517,1.981934,4.084993,0.107748
0.200000,1.990631,5.121359,0.628033,1.384947,1.992152,0.051091,0.196980
0.200000,2.335182,5.211004,0.984055,1.780109,1.975810,-0.081708,0.311605
0.200000,2.736750,5.370428,1.416112,2.160284,1.900874,-0.374680,0.441772
0.200000,3.175772,5.614726,1.918528,2.512080,1.758981,-0.709468,0.568520
0.200000,3.606262,5.921945,2.447399,2.644360,0.661399,-5.487906,0.664319
0.200000,4.002923,6.252268,2.963590,2.580952,-0.317041,-4.892201,0.717870
0.200000,4.353947,6.564958,3.433689,2.350497,-1.152273,-4.176160,0.731979
0.200000,4.646547,6.825142,3.825239,1.957747,-1.963751,-4.057388,0.717561
0.200000,4.886906,7.029186,4.140526,1.576435,-1.906560,0.285952,0.687244
0.200000,5.076714,7.179665,4.382747,1.211108,-1.826634,0.399630,0.651537
0.200000,5.214948,7.281698,4.554558,0.859055,-1.760263,0.331854,0.619167
0.200000,5.299813,7.340777,4.657963,0.517023,-1.710160,0.250517,0.596736
0.200000,5.329873,7.361015,4.694201,0.181188,-1.679174,0.154930,0.588340
0.200000,5.331065,7.361811,4.695634,0.007166,-0.870111,4.045315,0.588003
0.200000,5.331065,7.361811,4.695634,0.000000,-0.035831,4.171400,0.588003
