dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.176403,7.399060,0.035714,0.357143,1.785714,8.928571,3.142567
0.200000,5.070263,7.398780,0.141854,0.530701,0.867789,-4.589625,3.145871
0.200000,4.893268,7.397558,0.318853,0.884994,1.771465,4.518380,3.151052
0.200000,4.645283,7.394381,0.566859,1.240028,1.775171,0.018531,3.157622
0.200000,4.326125,7.388069,0.886079,1.596103,1.780376,0.026023,3.164894
0.200000,3.935564,7.377516,1.276783,1.953519,1.787080,0.033521,3.171987
0.200000,3.473309,7.362005,1.739298,2.312574,1.795275,0.040977,3.177819
0.200000,2.974640,7.343002,2.238329,2.495153,0.912893,-4.411910,3.181012
0.200000,2.475031,7.323165,2.738331,2.500012,0.024296,-4.442988,3.181004
0.200000,1.974957,7.304116,3.238768,2.502186,0.010870,-0.067131,3.177800
0.200000,1.510235,7.288531,3.703752,2.324918,-0.886340,-4.486046,3.171973
0.200000,1.116445,7.277894,4.097685,1.969667,-1.776257,-4.449584,3.164898
0.200000,0.793951,7.271511,4.420242,1.612784,-1.784416,-0.040795,3.157652
0.200000,0.543059,7.268285,4.671155,1.254566,-1.791090,-0.033373,3.151116
0.200000,0.364001,7.267034,4.850217,0.895311,-1.796273,-0.025914,3.145973
0.200000,0.256938,7.266739,4.957281,0.535319,-1.799962,-0.018444,3.142707
0.200000,0.221420,7.266719,4.992799,0.177587,-1.788656,0.056530,3.141593
0.200000,0.221420,7.266719,4.992799,0.000000,-0.887937,4.503592,3.141593
