dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.176107,7.702560,0.035714,0.357143,1.785714,8.928571,3.142567
0.200000,5.068964,7.702277,0.142857,0.714286,1.785714,0.000000,3.145871
0.200000,4.890398,7.701045,0.321429,1.071429,1.785714,0.000000,3.151052
0.200000,4.640418,7.697842,0.571429,1.428571,1.785714,-0.000000,3.157622
0.200000,4.319053,7.691486,0.892857,1.785714,1.785714,0.000000,3.164894
0.200000,3.926340,7.680876,1.285714,2.142857,1.785714,-0.000000,3.171987
0.200000,3.462317,7.665306,1.750000,2.500000,1.785714,0.000000,3.177819
0.200000,2.962679,7.646266,2.250000,2.500000,0.000000,-8.928571,3.181012
0.200000,2.463073,7.626430,2.750000,2.500000,0.000000,0.000000,3.181004
0.200000,1.963970,7.607417,3.249465,2.494649,-0.026753,-0.133766,3.177800
0.200000,1.501016,7.591891,3.712681,2.137507,-1.785714,-8.794806,3.171973
0.200000,1.109372,7.581312,4.104468,1.780364,-1.785714,0.000000,3.164898
0.200000,0.789077,7.574972,4.424826,1.423221,-1.785714,0.000000,3.157652
0.200000,0.540168,7.571771,4.673756,1.066078,-1.785714,-0.000000,3.151116
0.200000,0.362672,7.570531,4.851257,0.708935,-1.785714,0.000000,3.145973
0.200000,0.256599,7.570239,4.957330,0.351792,-1.785714,0.000000,3.142707
0.200000,0.221420,7.570219,4.992509,0.000000,-1.758961,0.133766,3.141593
0.200000,0.221420,7.570219,4.992509,0.000000,0.000000,8.794806,3.141593
