dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.175811,8.006060,0.035714,0.357143,1.785714,8.928571,3.142567
0.200000,5.067666,8.005775,0.143860,0.540727,0.917923,-4.338958,3.145871
0.200000,4.887527,8.004531,0.324003,0.900719,1.799956,4.410166,3.151052
0.200000,4.635554,8.001303,0.575997,1.259967,1.796245,-0.018556,3.157622
0.200000,4.311982,7.994904,0.899632,1.618175,1.791040,-0.026025,3.164894
0.200000,3.917117,7.984235,1.294641,1.975044,1.784343,-0.033485,3.171987
0.200000,3.451324,7.968607,1.760696,2.330276,1.776161,-0.040907,3.177819
0.200000,2.950719,7.949530,2.261665,2.504845,0.872843,-4.516591,3.181012
0.200000,2.451115,7.929694,2.761663,2.499988,-0.024285,-4.485641,3.181004
0.200000,1.952984,7.910718,3.260155,2.492461,-0.037633,-0.066741,3.177800
0.200000,1.491797,7.895251,3.721601,2.307231,-0.926150,-4.442582,3.171973
0.200000,1.102300,7.884730,4.111240,1.948195,-1.795180,-4.345151,3.164898
0.200000,0.784203,7.878433,4.429399,1.590794,-1.787007,0.040865,3.157652
0.200000,0.537278,7.875258,4.676345,1.234729,-1.780325,0.033409,3.151116
0.200000,0.361342,7.874029,4.852285,0.879700,-1.775143,0.025911,3.145973
0.200000,0.256261,7.873739,4.957366,0.525408,-1.771459,0.018421,3.142707
0.200000,0.221420,7.873719,4.992207,0.174205,-1.756017,0.077209,3.141593
0.200000,0.221420,7.873719,4.992207,0.000000,-0.871024,4.424968,3.141593
