dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.345740,7.844151,0.035714,0.357143,1.785714,8.928571,6.274599
0.200000,0.460763,7.841644,0.150765,0.575253,1.090550,-3.475821,6.248533
0.200000,0.650703,7.831308,0.340986,0.951106,1.879268,3.943589,6.210109
0.200000,0.912458,7.806237,0.603939,1.314764,1.818290,-0.304891,6.167365
0.200000,1.241611,7.761412,0.936130,1.660953,1.730943,-0.436733,6.131847
0.200000,1.633479,7.697830,1.333123,1.984967,1.620069,-0.554372,6.118208
0.200000,2.084332,7.626988,1.789507,2.281921,1.484769,-0.676497,6.144198
0.200000,2.555630,7.577691,2.263376,2.369346,0.437127,-5.238209,6.223923
0.200000,3.030856,7.572496,2.738631,2.376273,0.034637,-2.012450,0.021835
0.200000,3.532961,7.585263,3.240898,2.511336,0.675313,3.203376,0.014352
0.200000,4.061721,7.571132,3.769847,2.644743,0.667033,-0.041400,6.201472
0.200000,4.597468,7.485465,4.312400,2.712767,0.340122,-1.634553,6.054477
0.200000,5.102938,7.342642,4.837661,2.626303,-0.432321,-3.862215,5.970735
0.200000,5.582683,7.178925,5.344571,2.534555,-0.458740,-0.132096,5.947924
0.200000,6.142041,6.915886,5.962690,3.090591,2.780182,16.194612,5.533374
0.200000,6.483131,6.470363,6.523790,2.805500,-1.425453,-21.028177,5.327942
0.200000,6.638701,6.303795,6.751708,1.139593,-8.329535,-34.520406,6.217230
0.200000,6.850981,6.438840,7.003303,1.257974,0.591905,44.607199,0.742272
0.200000,7.149442,6.767120,7.446977,2.218371,4.801981,21.050377,0.909152
0.200000,7.311594,7.049124,7.772277,1.626495,-2.959376,-38.806784,1.408193
0.200000,7.276814,7.053082,7.807281,0.175023,-7.257361,-21.489924,2.705803
0.200000,7.004457,7.133468,8.091253,1.419861,6.224191,67.407763,2.924852
0.200000,6.730148,7.191626,8.371660,1.402032,-0.089148,-31.566698,2.921936
0.200000,6.502814,7.251334,8.606704,1.175221,-1.134052,-5.224522,2.832885
0.200000,6.336515,7.316172,8.785196,0.892461,-1.413799,-1.398734,2.694603
0.200000,6.249956,7.363453,8.883827,0.493152,-1.996546,-2.913735,2.584414
0.200000,6.229685,7.376517,8.907942,0.120576,-1.862879,0.668337,2.553590
0.200000,6.229685,7.376517,8.907942,0.000000,-0.602882,6.299986,2.553590
