dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.343134,7.540662,0.035714,0.357143,1.785714,8.928571,6.274599
0.200000,0.450248,7.538327,0.142857,0.714286,1.785714,0.000000,6.248533
0.200000,0.628544,7.528618,0.321429,1.071429,1.785714,0.000000,6.210109
0.200000,0.877385,7.504771,0.571429,1.428571,1.785714,-0.000000,6.167365
0.200000,1.195855,7.461381,0.892857,1.785714,1.785714,0.000000,6.131847
0.200000,1.583635,7.398451,1.285714,2.142857,1.785714,-0.000000,6.118208
0.200000,2.042285,7.326414,1.750000,2.500000,1.785714,0.000000,6.144198
0.200000,2.537654,7.274724,2.250000,2.500000,0.000000,-8.928571,6.223923
0.200000,3.037482,7.269068,2.750000,2.500000,0.000000,0.000000,0.021835
0.200000,3.537316,7.281794,3.250000,2.500000,0.000000,0.000000,0.014352
0.200000,4.036948,7.268645,3.750000,2.500000,0.000000,0.000000,6.201472
0.200000,4.528659,7.189868,4.250000,2.500000,0.000000,0.000000,6.054477
0.200000,5.009645,7.053837,4.750000,2.500000,0.000000,0.000000,5.970735
0.200000,5.482827,6.892322,5.250000,2.500000,0.000000,0.000000,5.947924
0.200000,5.935205,6.693779,5.750000,2.500000,0.000000,0.000000,5.533374
0.200000,6.235337,6.295119,6.250000,2.500000,0.000000,0.000000,5.327942
0.200000,6.618698,6.000955,6.750000,2.500000,0.000000,0.000000,6.217230
0.200000,7.056136,6.215180,7.250000,2.500000,0.000000,0.000000,0.742272
0.200000,7.388898,6.580645,7.750000,2.500000,0.000000,0.000000,0.909152
0.200000,7.611091,6.999991,8.229047,2.290474,-1.047630,-5.238148,1.408193
0.200000,7.404930,7.328216,8.651428,1.933331,-1.785714,-3.690423,2.705803
0.200000,7.069724,7.429867,9.002380,1.576188,-1.785714,0.000000,2.924852
0.200000,6.796279,7.487834,9.281903,1.219045,-1.785714,-0.000000,2.921936
0.200000,6.595026,7.540487,9.489998,0.861903,-1.785714,0.000000,2.832885
0.200000,6.467704,7.589854,9.626664,0.504760,-1.785714,-0.000000,2.694603
0.200000,6.410445,7.621049,9.691902,0.147617,-1.785714,0.000000,2.584414
0.200000,6.398037,7.629044,9.706664,0.000000,-0.738085,5.238148,2.553590
0.200000,6.398037,7.629044,9.706664,0.000000,0.000000,3.690423,2.553590
