dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.340528,7.237174,0.035714,0.357143,1.785714,8.928571,6.274599
0.200000,0.439733,7.235009,0.134943,0.496145,0.695012,-5.453510,6.248533
0.200000,0.606386,7.225928,0.301843,0.834498,1.691763,4.983753,6.210109
0.200000,0.842312,7.203304,0.538852,1.185045,1.752735,0.304862,6.167365
0.200000,1.150099,7.161350,0.849484,1.553163,1.840589,0.439269,6.131847
0.200000,1.533792,7.099072,1.238199,1.943571,1.952043,0.557273,6.118208
0.200000,2.000238,7.025841,1.710359,2.360799,2.086139,0.670479,6.144198
0.200000,2.519679,6.971756,2.232607,2.611244,1.252225,-4.169574,6.223923
0.200000,3.044109,6.965640,2.757073,2.622329,0.055423,-5.984008,0.021835
0.200000,3.541672,6.978326,3.254798,2.488625,-0.668517,-3.619702,0.014352
0.200000,4.012176,6.966158,3.725459,2.353306,-0.676596,-0.040392,6.201472
0.200000,4.459849,6.894271,4.178868,2.267042,-0.431322,1.226369,6.054477
0.200000,4.916352,6.765031,4.653312,2.372222,0.525902,4.786122,5.970735
0.200000,5.382970,6.605720,5.146377,2.465324,0.465510,-0.301961,5.947924
0.200000,5.728370,6.471673,5.516876,1.852495,-3.064145,-17.648275,5.533374
0.200000,5.987543,6.119875,5.953834,2.184789,1.661471,23.628081,5.327942
0.200000,6.598695,5.698115,6.696389,3.712777,7.639940,29.892344,6.217230
0.200000,7.261291,5.991520,7.421041,3.623260,-0.447586,-40.437628,0.742272
0.200000,7.628354,6.394170,7.965892,2.724253,-4.495034,-20.237242,0.909152
0.200000,7.910588,6.950858,8.590037,3.120725,1.982358,32.386961,1.408193
0.200000,7.533045,7.603350,9.343884,3.769234,3.242543,6.300926,2.705803
0.200000,7.134991,7.726266,9.760483,2.082997,-8.431185,-58.368639,2.924852
0.200000,6.862410,7.784041,10.039119,1.393181,-3.449076,24.910545,2.921936
0.200000,6.687238,7.829639,10.220129,0.905050,-2.440658,5.042087,2.832885
0.200000,6.598892,7.863535,10.314754,0.473124,-2.159627,1.405156,2.694603
0.200000,6.570934,7.878645,10.346534,0.158900,-1.571121,2.942529,2.584414
0.200000,6.566388,7.881571,10.351941,0.027031,-0.659348,4.558868,2.553590
0.200000,6.566388,7.881571,10.351941,0.000000,-0.135153,2.620971,2.553590
