dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.361197,1.481572,0.000200,0.020000,1.000000,50.000000,3.141417
0.020000,7.361203,1.481572,0.000206,0.000299,-0.985066,-99.253282,3.141437
0.020000,7.361215,1.481572,0.000218,0.000597,0.014925,49.999510,3.141477
0.020000,7.361233,1.481572,0.000236,0.000895,0.014905,-0.000979,3.141536
0.020000,7.360324,1.481572,0.001145,0.045440,2.227246,110.617049,3.141616
0.020000,7.356354,1.481571,0.005115,0.198511,7.653519,271.313657,3.141715
0.020000,7.351589,1.481570,0.009879,0.238215,1.985207,-283.415593,3.141834
0.020000,7.346031,1.481569,0.015438,0.277920,1.985264,0.002859,3.141973
0.020000,7.339678,1.481566,0.021790,0.317627,1.985341,0.003834,3.142131
0.020000,7.332532,1.481561,0.028937,0.357335,1.985422,0.004046,3.142309
0.020000,7.324591,1.481555,0.036878,0.397045,1.985508,0.004275,3.142506
0.020000,7.315856,1.481546,0.045613,0.436758,1.985606,0.004947,3.142722
0.020000,7.306326,1.481534,0.055142,0.476472,1.985706,0.004963,3.142957
0.020000,7.296003,1.481519,0.065466,0.516188,1.985818,0.005594,3.143211
0.020000,7.284884,1.481499,0.076584,0.555907,1.985973,0.007767,3.143484
0.020000,7.272972,1.481475,0.088497,0.595629,1.986080,0.005359,3.143775
0.020000,7.260265,1.481445,0.101204,0.635354,1.986234,0.007675,3.144085
0.020000,7.246763,1.481409,0.114705,0.675082,1.986408,0.008725,3.144413
0.020000,7.232467,1.481367,0.129002,0.714813,1.986557,0.007464,3.144759
0.020000,7.217376,1.481316,0.144093,0.754548,1.986734,0.008849,3.145122
0.020000,7.201491,1.481257,0.159978,0.794286,1.986930,0.009787,3.145503
0.020000,7.184810,1.481188,0.176659,0.834029,1.987122,0.009597,3.145901
0.020000,7.167335,1.481109,0.194134,0.873775,1.987315,0.009661,3.146316
0.020000,7.149065,1.481019,0.212405,0.913526,1.987553,0.011861,3.146748
0.020000,7.129999,1.480917,0.231471,0.953281,1.987755,0.010110,3.147196
0.020000,7.110139,1.480801,0.251331,0.993042,1.988014,0.012952,3.147660
0.020000,7.089483,1.480670,0.271988,1.032806,1.988246,0.011632,3.148139
0.020000,7.068032,1.480525,0.293439,1.072576,1.988501,0.012737,3.148634
0.020000,7.045785,1.480362,0.315686,1.112352,1.988767,0.013296,3.149144
0.020000,7.022744,1.480182,0.338729,1.152133,1.989040,0.013670,3.149668
0.020000,6.998906,1.479983,0.362567,1.191919,1.989336,0.014760,3.150207
0.020000,6.974273,1.479764,0.387201,1.231712,1.989622,0.014318,3.150760
0.020000,6.948844,1.479524,0.412632,1.271510,1.989923,0.015068,3.151326
0.020000,6.922619,1.479261,0.438858,1.311315,1.990247,0.016176,3.151905
0.020000,6.895598,1.478975,0.465880,1.351127,1.990569,0.016105,3.152496
0.020000,6.867780,1.478663,0.493699,1.390945,1.990900,0.016534,3.153100
0.020000,6.839167,1.478325,0.522315,1.430770,1.991247,0.017367,3.153715
0.020000,6.809757,1.477959,0.551727,1.470602,1.991602,0.017756,3.154342
0.020000,6.779551,1.477564,0.581936,1.510441,1.991965,0.018166,3.154979
0.020000,6.748548,1.477139,0.612941,1.550288,1.992337,0.018595,3.155627
0.020000,6.716749,1.476682,0.644744,1.590142,1.992731,0.019688,3.156284
0.020000,6.684152,1.476192,0.677344,1.630005,1.993115,0.019202,3.156950
0.020000,6.650759,1.475668,0.710742,1.669875,1.993527,0.020595,3.157625
0.020000,6.616568,1.475108,0.744937,1.709754,1.993934,0.020363,3.158308
0.020000,6.581581,1.474511,0.779930,1.749641,1.994362,0.021389,3.158999
0.020000,6.545796,1.473876,0.815720,1.789537,1.994798,0.021811,3.159696
0.020000,6.509213,1.473201,0.852309,1.829442,1.995242,0.022159,3.160400
0.020000,6.471833,1.472484,0.889696,1.869356,1.995696,0.022719,3.161110
0.020000,6.433655,1.471725,0.927882,1.909279,1.996158,0.023105,3.161825
0.020000,6.394679,1.470923,0.966866,1.949211,1.996630,0.023605,3.162544
0.020000,6.355104,1.470079,1.006450,1.979208,1.499812,-24.840927,3.163263
0.020000,6.315327,1.469203,1.046237,1.989317,0.505474,-49.716886,3.163976
0.020000,6.275548,1.468298,1.086026,1.989481,0.008213,-24.863046,3.164677
0.020000,6.235766,1.467366,1.125819,1.989646,0.008209,-0.000192,3.165367
0.020000,6.195981,1.466406,1.165615,1.989810,0.008215,0.000290,3.166046
0.020000,6.156194,1.465420,1.205415,1.989974,0.008212,-0.000164,3.166715
0.020000,6.116404,1.464407,1.245218,1.990138,0.008216,0.000244,3.167372
0.020000,6.076611,1.463368,1.285024,1.990303,0.008214,-0.000131,3.168019
0.020000,6.036816,1.462303,1.324833,1.990467,0.008218,0.000195,3.168654
0.020000,5.997018,1.461214,1.364646,1.990631,0.008216,-0.000094,3.169279
0.020000,5.957218,1.460099,1.404462,1.990796,0.008219,0.000143,3.169892
0.020000,5.917415,1.458960,1.444281,1.990960,0.008218,-0.000054,3.170495
0.020000,5.877610,1.457798,1.484103,1.991125,0.008219,0.000090,3.171087
