dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.361250,1.781572,0.000200,0.020000,1.000000,50.000000,3.141417
0.020000,7.361250,1.781572,0.001000,0.060000,2.000000,50.000000,3.141437
0.020000,7.361250,1.781572,0.002600,0.100000,2.000000,0.000000,3.141477
0.020000,7.361250,1.781572,0.005000,0.140000,2.000000,0.000000,3.141536
0.020000,7.360317,1.781572,0.008200,0.180000,2.000000,-0.000000,3.141616
0.020000,7.356317,1.781571,0.012200,0.220000,2.000000,0.000000,3.141715
0.020000,7.351517,1.781570,0.017000,0.260000,2.000000,0.000000,3.141834
0.020000,7.345917,1.781569,0.022600,0.300000,2.000000,-0.000000,3.141973
0.020000,7.339517,1.781566,0.029000,0.340000,2.000000,0.000000,3.142131
0.020000,7.332317,1.781561,0.036200,0.380000,2.000000,-0.000000,3.142309
0.020000,7.324317,1.781555,0.044200,0.420000,2.000000,0.000000,3.142506
0.020000,7.315517,1.781546,0.053000,0.460000,2.000000,0.000000,3.142722
0.020000,7.305917,1.781534,0.062600,0.500000,2.000000,-0.000000,3.142957
0.020000,7.295517,1.781518,0.073000,0.540000,2.000000,0.000000,3.143211
0.020000,7.284317,1.781499,0.084200,0.580000,2.000000,-0.000000,3.143484
0.020000,7.272317,1.781474,0.096200,0.620000,2.000000,0.000000,3.143775
0.020000,7.259517,1.781444,0.109000,0.660000,2.000000,0.000000,3.144085
0.020000,7.245917,1.781408,0.122600,0.700000,2.000000,-0.000000,3.144413
0.020000,7.231517,1.781365,0.137000,0.740000,2.000000,0.000000,3.144759
0.020000,7.216317,1.781314,0.152200,0.780000,2.000000,0.000000,3.145122
0.020000,7.200317,1.781255,0.168200,0.820000,2.000000,-0.000000,3.145503
0.020000,7.183518,1.781186,0.185000,0.860000,2.000000,0.000000,3.145901
0.020000,7.165918,1.781106,0.202600,0.900000,2.000000,0.000000,3.146316
0.020000,7.147518,1.781015,0.221000,0.940000,2.000000,-0.000000,3.146748
0.020000,7.128318,1.780912,0.240200,0.980000,2.000000,0.000000,3.147196
0.020000,7.108319,1.780795,0.260200,1.020000,2.000000,0.000000,3.147660
0.020000,7.087519,1.780664,0.281000,1.060000,2.000000,0.000000,3.148139
0.020000,7.065919,1.780517,0.302600,1.100000,2.000000,0.000000,3.148634
0.020000,7.043520,1.780354,0.325000,1.140000,2.000000,-0.000000,3.149144
0.020000,7.020321,1.780173,0.348200,1.180000,2.000000,0.000000,3.149668
0.020000,6.996322,1.779972,0.372200,1.220000,2.000000,0.000000,3.150207
0.020000,6.971523,1.779752,0.397000,1.260000,2.000000,0.000000,3.150760
0.020000,6.945924,1.779510,0.422600,1.300000,2.000000,0.000000,3.151326
0.020000,6.919525,1.779245,0.449000,1.340000,2.000000,0.000000,3.151905
