dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.361302,2.081572,0.000200,0.020000,1.000000,50.000000,3.141417
0.020000,7.361296,2.081572,0.000206,0.000299,-0.985066,-99.253282,3.141437
0.020000,7.361284,2.081572,0.000218,0.000597,0.014925,49.999510,3.141477
0.020000,7.361267,2.081572,0.000236,0.000895,0.014905,-0.000979,3.141536
0.020000,7.360310,2.081572,0.001192,0.047826,2.346525,116.581007,3.141616
0.020000,7.356280,2.081571,0.005222,0.201490,7.683192,266.833358,3.141715
0.020000,7.351445,2.081570,0.010058,0.241785,2.014783,-283.420477,3.141834
0.020000,7.345803,2.081569,0.015699,0.282080,2.014723,-0.003003,3.141973
0.020000,7.339355,2.081566,0.022147,0.322373,2.014663,-0.002998,3.142131
0.020000,7.332102,2.081561,0.029400,0.362665,2.014587,-0.003768,3.142309
0.020000,7.324043,2.081555,0.037459,0.402955,2.014497,-0.004521,3.142506
0.020000,7.315178,2.081546,0.046324,0.443243,2.014400,-0.004826,3.142722
0.020000,7.305508,2.081534,0.055995,0.483528,2.014285,-0.005796,3.142957
0.020000,7.295031,2.081518,0.066471,0.523812,2.014162,-0.006143,3.143211
0.020000,7.283750,2.081498,0.077753,0.564093,2.014063,-0.004926,3.143484
0.020000,7.271662,2.081473,0.089840,0.604371,2.013896,-0.008358,3.143775
0.020000,7.258769,2.081443,0.102733,0.644646,2.013756,-0.006996,3.144085
0.020000,7.245071,2.081407,0.116431,0.684918,2.013618,-0.006921,3.144413
0.020000,7.230567,2.081364,0.130935,0.725187,2.013434,-0.009191,3.144759
0.020000,7.215258,2.081312,0.146244,0.765452,2.013258,-0.008777,3.145122
0.020000,7.199144,2.081252,0.162359,0.805714,2.013082,-0.008818,3.145503
0.020000,7.182225,2.081183,0.179278,0.845971,2.012882,-0.010003,3.145901
0.020000,7.164501,2.081103,0.197002,0.886225,2.012663,-0.010931,3.146316
0.020000,7.145971,2.081011,0.215532,0.926474,2.012469,-0.009693,3.146748
0.020000,7.126637,2.080907,0.234866,0.966718,2.012220,-0.012464,3.147196
0.020000,7.106498,2.080790,0.255005,1.006959,2.012009,-0.010577,3.147660
0.020000,7.085555,2.080658,0.275949,1.047194,2.011750,-0.012912,3.148139
0.020000,7.063807,2.080510,0.297698,1.087423,2.011495,-0.012788,3.148634
0.020000,7.041255,2.080345,0.320251,1.127648,2.011230,-0.013219,3.149144
0.020000,7.017898,2.080163,0.343608,1.167867,2.010953,-0.013838,3.149668
0.020000,6.993737,2.079961,0.367770,1.208081,2.010679,-0.013732,3.150207
0.020000,6.968773,2.079739,0.392736,1.248288,2.010375,-0.015179,3.150760
0.020000,6.943004,2.079496,0.418505,1.288490,2.010067,-0.015419,3.151326
0.020000,6.916432,2.079229,0.445079,1.328685,2.009761,-0.015296,3.151905
0.020000,6.889056,2.078939,0.472456,1.368873,2.009433,-0.016369,3.152496
0.020000,6.860876,2.078623,0.500638,1.409055,2.009095,-0.016936,3.153100
0.020000,6.831894,2.078281,0.529622,1.449230,2.008753,-0.017092,3.153715
0.020000,6.802108,2.077910,0.559410,1.489398,2.008399,-0.017700,3.154342
0.020000,6.771519,2.077510,0.590001,1.529559,2.008033,-0.018287,3.154979
0.020000,6.740128,2.077080,0.621396,1.569712,2.007656,-0.018855,3.155627
0.020000,6.707934,2.076618,0.653593,1.609858,2.007281,-0.018750,3.156284
0.020000,6.674938,2.076122,0.686593,1.649995,2.006876,-0.020243,3.156950
0.020000,6.641140,2.075591,0.720395,1.690125,2.006480,-0.019836,3.157625
0.020000,6.606539,2.075025,0.755000,1.730246,2.006058,-0.021072,3.158308
0.020000,6.571137,2.074421,0.790407,1.770359,2.005637,-0.021036,3.158999
0.020000,6.534934,2.073778,0.826616,1.810463,2.005205,-0.021610,3.159696
0.020000,6.497929,2.073095,0.863628,1.850558,2.004760,-0.022259,3.160400
0.020000,6.460123,2.072370,0.901441,1.890644,2.004306,-0.022694,3.161110
0.020000,6.421516,2.071603,0.940055,1.930721,2.003840,-0.023302,3.161825
0.020000,6.382109,2.070791,0.979471,1.970788,2.003364,-0.023797,3.162544
0.020000,6.342102,2.069938,1.019487,2.000792,1.500196,-25.158428,3.163263
0.020000,6.301898,2.069052,1.059700,2.010683,0.494520,-50.283768,3.163976
0.020000,6.261698,2.068138,1.099911,2.010519,-0.008208,-25.136386,3.164677
0.020000,6.221502,2.067196,1.140118,2.010354,-0.008214,-0.000315,3.165367
0.020000,6.181310,2.066227,1.180321,2.010190,-0.008210,0.000181,3.166046
0.020000,6.141122,2.065231,1.220522,2.010026,-0.008216,-0.000270,3.166715
0.020000,6.100938,2.064208,1.260719,2.009861,-0.008213,0.000150,3.167372
0.020000,6.060758,2.063158,1.300913,2.009697,-0.008217,-0.000222,3.168019
0.020000,6.020581,2.062084,1.341104,2.009533,-0.008215,0.000114,3.168654
0.020000,5.980409,2.060984,1.381291,2.009368,-0.008218,-0.000170,3.169279
