dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.275495,1.906614,0.000200,0.020000,1.000000,50.000000,6.283044
0.020000,0.275490,1.906614,0.000205,0.000242,-0.987899,-99.394975,6.283060
0.020000,0.275480,1.906614,0.000215,0.000484,0.012093,49.999600,6.283092
0.020000,0.275466,1.906614,0.000229,0.000725,0.012077,-0.000800,6.283141
0.020000,0.276425,1.906614,0.001188,0.047971,2.362270,117.509651,0.000020
0.020000,0.280401,1.906614,0.005164,0.198793,7.541121,258.942593,0.000100
0.020000,0.285172,1.906615,0.009935,0.238554,1.988017,-277.655235,0.000197
0.020000,0.290739,1.906616,0.015502,0.278315,1.988063,0.002325,0.000309
0.020000,0.297100,1.906618,0.021863,0.318077,1.988124,0.003030,0.000437
0.020000,0.304257,1.906622,0.029020,0.357841,1.988190,0.003310,0.000581
0.020000,0.312209,1.906627,0.036972,0.397606,1.988262,0.003595,0.000741
0.020000,0.320956,1.906635,0.045720,0.437373,1.988340,0.003884,0.000916
0.020000,0.330499,1.906644,0.055262,0.477142,1.988423,0.004178,0.001106
0.020000,0.340838,1.906657,0.065601,0.516912,1.988519,0.004799,0.001312
0.020000,0.351971,1.906673,0.076734,0.556685,1.988634,0.005745,0.001533
0.020000,0.363900,1.906692,0.088664,0.596459,1.988735,0.005030,0.001769
0.020000,0.376625,1.906716,0.101388,0.636236,1.988855,0.006016,0.002020
0.020000,0.390145,1.906745,0.114909,0.676016,1.988988,0.006676,0.002286
0.020000,0.404461,1.906780,0.129225,0.715799,1.989124,0.006796,0.002566
0.020000,0.419573,1.906821,0.144336,0.755584,1.989267,0.007154,0.002860
0.020000,0.435480,1.906869,0.160244,0.795372,1.989421,0.007668,0.003169
0.020000,0.452184,1.906925,0.176947,0.835164,1.989576,0.007741,0.003491
0.020000,0.469683,1.906989,0.194446,0.874959,1.989741,0.008283,0.003827
0.020000,0.487978,1.907062,0.212741,0.914757,1.989932,0.009537,0.004177
0.020000,0.507069,1.907145,0.231833,0.954559,1.990101,0.008460,0.004539
0.020000,0.526956,1.907239,0.251720,0.994365,1.990297,0.009765,0.004915
