dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.275452,1.606614,0.000200,0.020000,1.000000,50.000000,6.283044
0.020000,0.275452,1.606614,0.001000,0.060000,2.000000,50.000000,6.283060
0.020000,0.275452,1.606614,0.002600,0.100000,2.000000,0.000000,6.283092
0.020000,0.275452,1.606614,0.005000,0.140000,2.000000,0.000000,6.283141
0.020000,0.276431,1.606614,0.008200,0.180000,2.000000,-0.000000,0.000020
0.020000,0.280431,1.606614,0.012200,0.220000,2.000000,0.000000,0.000100
0.020000,0.285231,1.606615,0.017000,0.260000,2.000000,0.000000,0.000197
0.020000,0.290831,1.606616,0.022600,0.300000,2.000000,-0.000000,0.000309
0.020000,0.297231,1.606618,0.029000,0.340000,2.000000,0.000000,0.000437
0.020000,0.304431,1.606622,0.036200,0.380000,2.000000,-0.000000,0.000581
0.020000,0.312431,1.606627,0.044200,0.420000,2.000000,0.000000,0.000741
0.020000,0.321231,1.606635,0.053000,0.460000,2.000000,0.000000,0.000916
0.020000,0.330831,1.606644,0.062600,0.500000,2.000000,-0.000000,0.001106
0.020000,0.341231,1.606657,0.073000,0.540000,2.000000,0.000000,0.001312
0.020000,0.352431,1.606673,0.084200,0.580000,2.000000,-0.000000,0.001533
0.020000,0.364431,1.606693,0.096200,0.620000,2.000000,0.000000,0.001769
0.020000,0.377231,1.606717,0.109000,0.660000,2.000000,0.000000,0.002020
0.020000,0.390831,1.606746,0.122600,0.700000,2.000000,-0.000000,0.002286
0.020000,0.405231,1.606781,0.137000,0.740000,2.000000,0.000000,0.002566
0.020000,0.420431,1.606822,0.152200,0.780000,2.000000,0.000000,0.002860
0.020000,0.436431,1.606871,0.168200,0.820000,2.000000,-0.000000,0.003169
0.020000,0.453231,1.606927,0.185000,0.860000,2.000000,0.000000,0.003491
0.020000,0.470831,1.606991,0.202600,0.900000,2.000000,0.000000,0.003827
0.020000,0.489231,1.607065,0.221000,0.940000,2.000000,-0.000000,0.004177
0.020000,0.508430,1.607148,0.240200,0.980000,2.000000,0.000000,0.004539
0.020000,0.528430,1.607243,0.260200,1.020000,2.000000,0.000000,0.004915
0.020000,0.549230,1.607349,0.281000,1.060000,2.000000,0.000000,0.005303
0.020000,0.570830,1.607468,0.302600,1.100000,2.000000,0.000000,0.005704
0.020000,0.593229,1.607600,0.325000,1.140000,2.000000,-0.000000,0.006117
0.020000,0.616429,1.607747,0.348200,1.180000,2.000000,0.000000,0.006541
0.020000,0.640428,1.607910,0.372200,1.220000,2.000000,0.000000,0.006978
0.020000,0.665228,1.608088,0.397000,1.260000,2.000000,0.000000,0.007425
0.020000,0.690827,1.608284,0.422600,1.300000,2.000000,0.000000,0.007883
0.020000,0.717226,1.608498,0.449000,1.340000,2.000000,0.000000,0.008351
0.020000,0.744425,1.608732,0.476200,1.380000,2.000000,-0.000000,0.008830
0.020000,0.772424,1.608986,0.504200,1.420000,2.000000,0.000000,0.009319
0.020000,0.801222,1.609262,0.533000,1.460000,2.000000,0.000000,0.009817
0.020000,0.830821,1.609560,0.562600,1.500000,2.000000,0.000000,0.010324
0.020000,0.861219,1.609881,0.593000,1.540000,2.000000,0.000000,0.010839
0.020000,0.892417,1.610228,0.624200,1.580000,2.000000,0.000000,0.011363
0.020000,0.924415,1.610600,0.656200,1.620000,2.000000,0.000000,0.011895
0.020000,0.957213,1.610999,0.689000,1.660000,2.000000,-0.000000,0.012433
0.020000,0.990810,1.611426,0.722600,1.700000,2.000000,0.000000,0.012979
0.020000,1.025207,1.611882,0.757000,1.740000,2.000000,0.000000,0.013532
0.020000,1.060404,1.612368,0.792200,1.780000,2.000000,0.000000,0.014090
0.020000,1.096400,1.612885,0.828200,1.820000,2.000000,0.000000,0.014654
0.020000,1.133196,1.613435,0.865000,1.860000,2.000000,0.000000,0.015223
0.020000,1.170791,1.614018,0.902600,1.900000,2.000000,-0.000000,0.015797
