dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.275410,1.306614,0.000200,0.020000,1.000000,50.000000,6.283044
0.020000,0.275415,1.306614,0.000205,0.000242,-0.987899,-99.394975,6.283060
0.020000,0.275425,1.306614,0.000215,0.000484,0.012093,49.999600,6.283092
0.020000,0.275439,1.306614,0.000229,0.000725,0.012077,-0.000800,6.283141
0.020000,0.276437,1.306614,0.001227,0.049904,2.458914,122.341855,0.000020
0.020000,0.280461,1.306614,0.005251,0.201207,7.565163,255.312447,0.000100
0.020000,0.285290,1.306615,0.010080,0.241446,2.011978,-277.659227,0.000197
0.020000,0.290924,1.306616,0.015714,0.281685,2.011929,-0.002468,0.000309
0.020000,0.297362,1.306618,0.022152,0.321923,2.011877,-0.002559,0.000437
0.020000,0.304606,1.306622,0.029395,0.362159,2.011816,-0.003079,0.000581
0.020000,0.312653,1.306627,0.037443,0.402394,2.011744,-0.003596,0.000741
0.020000,0.321506,1.306635,0.046296,0.442627,2.011662,-0.004108,0.000916
0.020000,0.331163,1.306645,0.055953,0.482858,2.011569,-0.004615,0.001106
0.020000,0.341625,1.306657,0.066415,0.523088,2.011474,-0.004792,0.001312
0.020000,0.352891,1.306673,0.077681,0.563316,2.011381,-0.004640,0.001533
0.020000,0.364962,1.306693,0.089752,0.603541,2.011257,-0.006170,0.001769
0.020000,0.377837,1.306718,0.102627,0.643763,2.011138,-0.005978,0.002020
0.020000,0.391517,1.306747,0.116307,0.683984,2.011016,-0.006116,0.002286
0.020000,0.406001,1.306782,0.130791,0.724201,2.010880,-0.006802,0.002566
0.020000,0.421289,1.306824,0.146079,0.764416,2.010735,-0.007247,0.002860
0.020000,0.437382,1.306872,0.162172,0.804628,2.010584,-0.007535,0.003169
0.020000,0.454278,1.306928,0.179069,0.844836,2.010418,-0.008270,0.003491
0.020000,0.471979,1.306993,0.196769,0.885041,2.010248,-0.008529,0.003827
0.020000,0.490484,1.307067,0.215274,0.925243,2.010087,-0.008070,0.004177
0.020000,0.509792,1.307151,0.234583,0.965440,2.009887,-0.009968,0.004539
0.020000,0.529905,1.307247,0.254696,1.005634,2.009698,-0.009457,0.004915
0.020000,0.550821,1.307353,0.275612,1.045825,2.009505,-0.009632,0.005303
0.020000,0.572541,1.307473,0.297332,1.086010,2.009291,-0.010710,0.005704
0.020000,0.595064,1.307606,0.319856,1.126192,2.009074,-0.010866,0.006117
0.020000,0.618391,1.307754,0.343184,1.166369,2.008856,-0.010875,0.006541
0.020000,0.642521,1.307917,0.367314,1.206541,2.008617,-0.011987,0.006978
0.020000,0.667455,1.308096,0.392249,1.246709,2.008372,-0.012236,0.007425
0.020000,0.693192,1.308293,0.417986,1.286872,2.008138,-0.011673,0.007883
0.020000,0.719731,1.308509,0.444527,1.327029,2.007866,-0.013614,0.008351
0.020000,0.747074,1.308744,0.471870,1.367181,2.007608,-0.012917,0.008830
0.020000,0.775219,1.308999,0.500017,1.407328,2.007338,-0.013477,0.009319
0.020000,0.804167,1.309276,0.528966,1.447469,2.007052,-0.014303,0.009817
0.020000,0.833918,1.309576,0.558718,1.487604,2.006763,-0.014439,0.010324
0.020000,0.864471,1.309899,0.589273,1.527733,2.006469,-0.014710,0.010839
0.020000,0.895826,1.310247,0.620630,1.567857,2.006164,-0.015281,0.011363
0.020000,0.927983,1.310621,0.652790,1.607974,2.005845,-0.015932,0.011895
0.020000,0.960943,1.311022,0.685751,1.648084,2.005531,-0.015687,0.012433
0.020000,0.994704,1.311451,0.719515,1.688188,2.005194,-0.016861,0.012979
0.020000,1.029266,1.311909,0.754081,1.728285,2.004863,-0.016543,0.013532
0.020000,1.064631,1.312398,0.789448,1.768376,2.004515,-0.017426,0.014090
0.020000,1.100796,1.312918,0.825617,1.808459,2.004160,-0.017727,0.014654
0.020000,1.137763,1.313470,0.862588,1.848535,2.003798,-0.018083,0.015223
0.020000,1.175530,1.314056,0.900360,1.888603,2.003428,-0.018510,0.015797
0.020000,1.214098,1.314676,0.938933,1.928664,2.003054,-0.018717,0.016374
0.020000,1.253467,1.315332,0.978308,1.968718,2.002663,-0.019554,0.016955
0.020000,1.293436,1.316022,1.018282,1.998720,1.500097,-25.128295,0.017537
0.020000,1.333602,1.316738,1.058455,2.008630,0.495515,-50.229114,0.018112
0.020000,1.373765,1.317477,1.098625,2.008496,-0.006693,-25.110361,0.018678
0.020000,1.413925,1.318238,1.138792,2.008362,-0.006695,-0.000118,0.019236
0.020000,1.454082,1.319022,1.178957,2.008228,-0.006693,0.000087,0.019784
0.020000,1.494236,1.319827,1.219118,2.008094,-0.006697,-0.000164,0.020324
0.020000,1.534386,1.320654,1.259278,2.007961,-0.006694,0.000124,0.020855
0.020000,1.574534,1.321502,1.299434,2.007827,-0.006697,-0.000163,0.021377
0.020000,1.614679,1.322370,1.339588,2.007693,-0.006696,0.000087,0.021889
0.020000,1.654820,1.323259,1.379739,2.007559,-0.006697,-0.000098,0.022393
0.020000,1.694958,1.324168,1.419888,2.007425,-0.006697,0.000031,0.022888
0.020000,1.735093,1.325097,1.460033,2.007291,-0.006698,-0.000043,0.023374
0.020000,1.775225,1.326045,1.500177,2.007157,-0.006698,-0.000003,0.023852
0.020000,1.815354,1.327012,1.540317,2.007023,-0.006698,-0.000017,0.024320
0.020000,1.855480,1.327997,1.580455,2.006889,-0.006698,-0.000009,0.024779
0.020000,1.895602,1.329000,1.620590,2.006755,-0.006699,-0.000016,0.025229
0.020000,1.935722,1.330022,1.660722,2.006621,-0.006699,0.000006,0.025671
0.020000,1.975838,1.331060,1.700852,2.006487,-0.006699,-0.000037,0.026103
0.020000,2.015951,1.332116,1.740979,2.006353,-0.006698,0.000040,0.026527
0.020000,2.056061,1.333189,1.781104,2.006219,-0.006700,-0.000072,0.026941
0.020000,2.096168,1.334278,1.821225,2.006085,-0.006699,0.000069,0.027347
0.020000,2.136272,1.335383,1.861344,2.005951,-0.006700,-0.000071,0.027744
0.020000,2.176372,1.336503,1.901461,2.005817,-0.006699,0.000056,0.028132
0.020000,2.216470,1.337639,1.941574,2.005683,-0.006700,-0.000047,0.028510
0.020000,2.256565,1.338790,1.981685,2.005549,-0.006699,0.000027,0.028880
0.020000,2.296656,1.339956,2.021794,2.005415,-0.006699,-0.000008,0.029241
0.020000,2.336744,1.341135,2.061899,2.005281,-0.006700,-0.000014,0.029593
0.020000,2.376829,1.342329,2.102002,2.005147,-0.006699,0.000040,0.029937
0.020000,2.416911,1.343536,2.142102,2.005013,-0.006700,-0.000064,0.030271
0.020000,2.456990,1.344756,2.182200,2.004879,-0.006698,0.000096,0.030596
0.020000,2.497066,1.345989,2.222295,2.004745,-0.006701,-0.000120,0.030912
0.020000,2.537139,1.347234,2.262387,2.004611,-0.006698,0.000143,0.031220
0.020000,2.577209,1.348492,2.302477,2.004477,-0.006701,-0.000141,0.031518
0.020000,2.617276,1.349761,2.342564,2.004343,-0.006698,0.000137,0.031808
0.020000,2.657340,1.351041,2.382648,2.004209,-0.006700,-0.000101,0.032089
0.020000,2.697400,1.352333,2.422729,2.004075,-0.006698,0.000083,0.032360
0.020000,2.737458,1.353635,2.462808,2.003941,-0.006699,-0.000045,0.032623
0.020000,2.777513,1.354947,2.502884,2.003807,-0.006699,0.000026,0.032877
0.020000,2.817564,1.356269,2.542958,2.003673,-0.006698,0.000013,0.033122
0.020000,2.857613,1.357601,2.583028,2.003539,-0.006699,-0.000031,0.033358
0.020000,2.897659,1.358942,2.623097,2.003405,-0.006698,0.000069,0.033585
0.020000,2.937701,1.360291,2.663162,2.003271,-0.006699,-0.000085,0.033803
0.020000,2.977741,1.361650,2.703225,2.003138,-0.006697,0.000122,0.034012
0.020000,3.017778,1.363016,2.743285,2.003004,-0.006699,-0.000135,0.034212
0.020000,3.057812,1.364390,2.783342,2.002870,-0.006697,0.000149,0.034404
0.020000,3.097842,1.365771,2.823397,2.002736,-0.006699,-0.000118,0.034586
0.020000,3.137870,1.367160,2.863449,2.002602,-0.006697,0.000106,0.034759
0.020000,3.177895,1.368555,2.903498,2.002468,-0.006698,-0.000068,0.034924
0.020000,3.217918,1.369956,2.943545,2.002334,-0.006697,0.000053,0.035079
0.020000,3.257937,1.371364,2.983589,2.002200,-0.006697,-0.000019,0.035226
0.020000,3.297953,1.372777,3.023630,2.002066,-0.006697,0.000007,0.035364
0.020000,3.337967,1.374195,3.063669,2.001932,-0.006697,0.000023,0.035493
0.020000,3.377977,1.375618,3.103705,2.001798,-0.006697,-0.000031,0.035613
0.020000,3.417985,1.377046,3.143738,2.001664,-0.006696,0.000056,0.035723
0.020000,3.457990,1.378478,3.183769,2.001530,-0.006698,-0.000061,0.035825
0.020000,3.497992,1.379913,3.223797,2.001396,-0.006696,0.000078,0.035919
0.020000,3.537992,1.381352,3.263822,2.001262,-0.006698,-0.000075,0.036003
0.020000,3.577988,1.382794,3.303845,2.001128,-0.006696,0.000074,0.036078
0.020000,3.617982,1.384239,3.343864,2.000994,-0.006697,-0.000050,0.036144
0.020000,3.657973,1.385687,3.383882,2.000860,-0.006696,0.000039,0.036202
0.020000,3.697961,1.387136,3.423896,2.000727,-0.006697,-0.000021,0.036250
0.020000,3.737947,1.388587,3.463908,2.000593,-0.006696,0.000014,0.036290
0.020000,3.777930,1.390039,3.503917,2.000459,-0.006696,-0.000003,0.036320
0.020000,3.817910,1.391492,3.543924,2.000325,-0.006696,-0.000000,0.036342
0.020000,3.857887,1.392946,3.583928,2.000191,-0.006696,0.000005,0.036354
0.020000,3.897862,1.394400,3.623929,2.000057,-0.006696,-0.000003,0.036358
0.020000,3.937834,1.395854,3.663927,1.999923,-0.006696,0.000001,0.036353
0.020000,3.977803,1.397307,3.703923,1.999789,-0.006696,0.000005,0.036339
0.020000,4.017770,1.398760,3.743916,1.999655,-0.006697,-0.000012,0.036316
0.020000,4.057734,1.400211,3.783906,1.999521,-0.006696,0.000018,0.036284
0.020000,4.097696,1.401661,3.823894,1.999387,-0.006697,-0.000024,0.036243
0.020000,4.137654,1.403109,3.863879,1.999253,-0.006696,0.000021,0.036194
0.020000,4.177611,1.404555,3.903862,1.999119,-0.006697,-0.000023,0.036135
0.020000,4.217564,1.405998,3.943841,1.998985,-0.006696,0.000013,0.036067
0.020000,4.257515,1.407438,3.983818,1.998852,-0.006697,-0.000010,0.035991
0.020000,4.297464,1.408874,4.023793,1.998718,-0.006697,-0.000007,0.035905
0.020000,4.337410,1.410307,4.063764,1.998584,-0.006697,0.000014,0.035811
0.020000,4.377353,1.411736,4.103733,1.998450,-0.006697,-0.000037,0.035707
0.020000,4.417294,1.413161,4.143700,1.998316,-0.006696,0.000048,0.035595
0.020000,4.457233,1.414581,4.183663,1.998182,-0.006698,-0.000076,0.035474
